"","subj","k","mean","2.5%","97.5%","parameter","model"
"57",25,2,0.899341953955,0.74794288375,1.04308488,"w2","influence_proba"
"58",26,2,0.9382619871375,0.83775242925,1.06143512,"w2","influence_proba"
"59",27,2,0.91948431831,0.78315476075,1.0770387175,"w2","influence_proba"
"60",28,2,0.9255470735075,0.79674606475,1.0794575725,"w2","influence_proba"
"61",29,2,0.883710408575,0.74144069125,1.0047613,"w2","influence_proba"
"62",30,2,0.96211729325,0.824412804,1.16396728,"w2","influence_proba"
"63",31,2,0.982188414275,0.84586295175,1.1997391225,"w2","influence_proba"
"64",32,2,0.8685516676575,0.6835300705,1.0104564075,"w2","influence_proba"
"65",1,3,0.90777884086,0.65412352725,1.15861555,"w3","influence_proba"
"66",2,3,0.9891865990675,0.82949626975,1.1703604525,"w3","influence_proba"
"67",3,3,0.890744066415,0.71100932325,1.0729911225,"w3","influence_proba"
"68",4,3,0.84739464775,0.65108932075,1.03785234,"w3","influence_proba"
"69",5,3,0.923175412335,0.7365062015,1.11034975,"w3","influence_proba"
"70",6,3,1.0252378922925,0.87330616425,1.1940552825,"w3","influence_proba"
"71",7,3,0.8371753570525,0.64198865625,1.0127999325,"w3","influence_proba"
"72",8,3,0.9202181931375,0.735368458,1.105952685,"w3","influence_proba"
"73",9,3,0.9215414391,0.73365583475,1.11136044,"w3","influence_proba"
"74",10,3,0.755825007205,0.620788358,0.89221662725,"w3","influence_proba"
"75",11,3,0.9258770534975,0.78380129,1.0800570775,"w3","influence_proba"
"76",12,3,0.9758140873925,0.81277009775,1.157468255,"w3","influence_proba"
"77",13,3,0.8238089685975,0.6185008885,1.01047085,"w3","influence_proba"
"78",14,3,1.008666778615,0.82870650225,1.2196210875,"w3","influence_proba"
"79",15,3,0.80572892913,0.598211253,0.9982457605,"w3","influence_proba"
"80",16,3,0.94830468873,0.736927401,1.171844865,"w3","influence_proba"
"81",17,3,1.00102733547,0.82340871325,1.19117599,"w3","influence_proba"
"82",18,3,0.9248814020675,0.72854230725,1.1366037575,"w3","influence_proba"
"83",19,3,0.976952389945,0.81085419425,1.1651526075,"w3","influence_proba"
"84",20,3,0.8642563648775,0.6983234305,1.0292388875,"w3","influence_proba"
"85",21,3,0.901937903145,0.74533134225,1.06014942,"w3","influence_proba"
"86",22,3,0.8879447769525,0.7089658805,1.07369532,"w3","influence_proba"
"87",23,3,0.9112341443375,0.75033546725,1.068017555,"w3","influence_proba"
"88",24,3,1.10173444586,0.926348504,1.30051442,"w3","influence_proba"
"89",25,3,0.8534686973625,0.67882269525,1.0280542675,"w3","influence_proba"
"90",26,3,1.0446542799475,0.914564692,1.1876080275,"w3","influence_proba"
"91",27,3,1.0320121464475,0.86305763125,1.22117604,"w3","influence_proba"
"92",28,3,0.8566046494825,0.66700841975,1.0304823875,"w3","influence_proba"
"93",29,3,0.8621379023575,0.69773836625,1.0231185525,"w3","influence_proba"
"94",30,3,0.888175273445,0.70601779975,1.06960351,"w3","influence_proba"
"95",31,3,0.956504977495,0.75941073075,1.1623915225,"w3","influence_proba"
"96",32,3,0.9292778878525,0.72021706675,1.1490422975,"w3","influence_proba"
"97",1,4,0.9305979954825,0.67089380025,1.185281985,"w4","influence_proba"
"98",2,4,1.0034933407725,0.83590861875,1.181713255,"w4","influence_proba"
"99",3,4,1.0296013955875,0.8471232295,1.236278745,"w4","influence_proba"
"100",4,4,0.984168794705,0.8124035805,1.1783833675,"w4","influence_proba"
"101",5,4,0.957561576075,0.7651520225,1.1615573675,"w4","influence_proba"
"102",6,4,0.8463531437,0.68272148625,1.0103868625,"w4","influence_proba"
"103",7,4,1.00011648561,0.81515783025,1.195252175,"w4","influence_proba"
"104",8,4,0.963137538995,0.7769563125,1.158484215,"w4","influence_proba"
"105",9,4,0.9419802793575,0.75851952075,1.135199715,"w4","influence_proba"
"106",10,4,0.80473422287,0.6401222715,0.97257642425,"w4","influence_proba"
"107",11,4,1.0112137808925,0.86630207325,1.16857189,"w4","influence_proba"
"108",12,4,0.98740429246,0.828862302,1.16426505,"w4","influence_proba"
"109",13,4,1.098952154465,0.9079768335,1.3302235125,"w4","influence_proba"
"110",14,4,0.9962124707725,0.7981199465,1.2149304375,"w4","influence_proba"
"111",15,4,0.8322221612525,0.62072831975,1.0325243625,"w4","influence_proba"
"112",16,4,0.9662380151325,0.7476535175,1.19724794,"w4","influence_proba"
"113",17,4,0.9004035511375,0.716533788,1.084326505,"w4","influence_proba"
"114",18,4,0.997237142975,0.7945476475,1.2211259075,"w4","influence_proba"
"115",19,4,1.0845360425875,0.91917986425,1.2684992325,"w4","influence_proba"
"116",20,4,0.7669915914825,0.580531907,0.9574453615,"w4","influence_proba"
"117",21,4,0.8939263589625,0.72962036275,1.0546744375,"w4","influence_proba"
