"","mu_w1","mu_w2","mu_w3","mu_w4","mu_w5","mu_alpha","mu_beta","mu_a_infl","mu_b_infl","mu_sigma_infl"
"171",0.6845823,0.75932936,0.77174755,0.86513406,0.95985844,2.0064777,0.16834969,-0.15725071,0.024012943,0.15943902
"172",0.66296191,0.63938061,0.75095563,0.91558734,0.94452161,1.9118533,0.13348468,-0.23608868,0.021934649,0.16307818
"173",0.65332992,0.66386794,0.66832878,0.71049234,0.83308464,1.7483411,0.10359217,-0.2760847,0.031567582,0.13768828
"174",0.67289563,0.67312303,0.6906062,0.82584589,0.84469259,1.8318705,0.12877961,-0.27263808,0.044755844,0.15356564
"175",0.69686466,0.72198488,0.76342147,0.75278331,0.90109558,1.6258278,0.09563255,-0.12802661,0.055385177,0.13800014
"176",0.69140668,0.68759313,0.70703298,0.80152757,0.85904091,1.5154772,0.3185869,-0.30357447,0.05141367,0.15631421
"177",0.66658593,0.64856426,0.70829553,0.81347651,0.85365685,1.6463509,0.32164051,-0.31232709,0.048283628,0.16418078
"178",0.70291277,0.62837408,0.73606189,0.81221972,0.90697468,1.5530737,0.26078194,-0.28585309,0.041722019,0.16160575
"179",0.67224036,0.71225667,0.73440946,0.80775147,0.92156898,1.8299845,0.30977919,-0.35918842,0.039692284,0.14469691
"180",0.69731021,0.66671115,0.71948479,0.83634815,0.86863076,1.6912351,0.17227056,-0.58455343,0.016643227,0.15838761
"181",0.69051248,0.76151826,0.74836622,0.89938684,0.92760466,1.5960114,0.15734164,-0.38320201,0.016088842,0.14747127
"182",0.72725104,0.7457583,0.81160348,0.87757486,0.93513916,1.5253821,0.11456436,-0.41580097,0.023125038,0.14775054
"183",0.59541888,0.65541626,0.71724623,0.78667437,0.8213772,1.8843879,0.1941182,-0.28323388,0.018150716,0.15258014
"184",0.68183173,0.65786833,0.75118816,0.87209035,0.93307407,1.8676312,0.2804954,-0.26178166,0.015206154,0.15321189
"185",0.67373111,0.72183575,0.71722343,0.85705616,0.90575047,1.6136271,0.33084206,-0.37427904,0.025591735,0.16817727
"186",0.61041857,0.73365577,0.72526295,0.71036035,0.86674791,1.6626855,0.31116196,-0.4285641,0.014917274,0.18512432
"187",0.68212956,0.60766739,0.72180615,0.88492884,0.90390015,1.5221327,0.24941946,-0.40188208,-0.00081614382,0.15671691
"188",0.67768837,0.74995903,0.68106485,0.70101657,0.83710575,1.8059871,0.27598601,-0.37167769,0.029452783,0.14454471
"189",0.75419961,0.69187365,0.77505792,0.81578901,0.93533079,1.5802741,0.27539474,-0.39449443,0.027612855,0.14344123
"190",0.72939438,0.84566804,0.72505477,0.83409485,0.93106666,1.5662451,0.2177807,-0.28491215,0.027757605,0.1395532
"191",0.64754611,0.80919246,0.74838009,0.80008566,0.92553648,1.4150254,0.25037487,-0.29681386,0.027747798,0.13906474
"192",0.63267385,0.65761505,0.6785398,0.88354681,0.93395284,1.725077,0.3367342,-0.27831255,0.015456235,0.13103452
"193",0.65672745,0.77353151,0.75132075,0.83651231,0.80432224,1.6485519,0.20112167,-0.22982425,0.023123095,0.14360592
"194",0.62494143,0.7769574,0.75616595,0.86317334,0.85603857,1.8715958,0.24974637,-0.18817337,0.019135366,0.14746992
"195",0.70758542,0.59072948,0.67067688,0.76472147,0.97224944,1.6547814,0.27613424,-0.22617949,0.021308849,0.14790733
"196",0.71368148,0.5934735,0.67160911,0.77697577,0.94654285,1.5341593,0.24560396,-0.24081989,0.023030703,0.14730182
"197",0.66369527,0.67866611,0.6751702,0.81210812,0.85500405,1.3206764,0.17508441,-0.2795024,0.02906751,0.12944887
"198",0.70655128,0.61364967,0.67481926,0.74134221,0.85902841,1.6728297,0.25824674,-0.25664216,0.021487818,0.13474396
"199",0.66265296,0.70657442,0.71668962,0.82314433,0.89487374,1.752803,0.21649952,-0.20187091,0.010216235,0.1516693
"200",0.56349119,0.6553701,0.71499723,0.89926077,0.9085204,1.4562448,0.21558507,-0.22088698,0.014165742,0.1544153
"201",0.66774075,0.75656238,0.75729692,0.88013093,0.93182596,1.1712027,0.14721878,-0.2577132,0.014815404,0.16043848
"202",0.65801421,0.65878355,0.67407922,0.85447965,0.92648494,1.5530763,0.2360834,-0.30888653,0.018069318,0.15932923
"203",0.65682967,0.68402395,0.72460792,0.79858094,0.86068081,1.6795328,0.23315659,-0.2970275,0.014584146,0.14942143
"204",0.68933834,0.67110634,0.71377472,0.88025133,0.90012027,1.9372053,0.27531779,-0.26364362,0.014486596,0.14518303
"205",0.65700009,0.74562527,0.72478836,0.74847202,0.89410755,2.234746,0.34397407,-0.38480765,0.054071023,0.15399136
"206",0.63255604,0.68936536,0.72304247,0.88724068,0.92256614,2.5484738,0.19823173,-0.52292763,0.04415683,0.14572296
"207",0.73659877,0.70308812,0.75630742,0.8762786,0.83007737,2.3799977,0.21106468,-0.37891809,0.041639885,0.14107818
"208",0.61125347,0.65253019,0.75650963,0.81108546,0.92788116,1.5607842,0.24392972,-0.27864033,0.036355501,0.14550741
"209",0.65428508,0.73639566,0.7005627,0.82518003,0.85205516,1.4160023,0.29120094,-0.29383038,0.034260186,0.15253296
"210",0.66056271,0.7160975,0.68427186,0.88479162,0.92160568,1.5562982,0.25513837,-0.2835716,0.025835147,0.15818485
"211",0.62074804,0.60963663,0.72680512,0.76941762,0.83928897,1.8175472,0.29110676,-0.27942326,0.02311053,0.16339884
"212",0.63222452,0.65428815,0.72774565,0.79566431,0.94920877,1.5860927,0.28068216,-0.26450488,0.021861627,0.15774478
"213",0.61987648,0.65783553,0.74894014,0.8430901,0.88575178,1.2664622,0.25815764,-0.24572037,0.033551643,0.16175431
"214",0.61919822,0.70247979,0.73087483,0.74883886,0.90608128,1.4867508,0.42517877,-0.25798122,0.031109155,0.13166991
